                  Player POS Team  Age   GP    PTS  FG%  3P%   REB   AST
         Zion Williamson  PF  NOP 22.0 29.0  754.0 60.8 36.8 202.0 133.0
           Grayson Allen  SG  MIL 27.0 72.0  750.0 44.0 39.9 237.0 163.0
               Josh Hart  SG  NYK 28.0 76.0  743.0 52.9 37.2 593.0 290.0
           Aaron Nesmith  SF  IND 23.0 73.0  738.0 42.7 36.6 277.0  98.0
          Gordon Hayward  SF  CHA 33.0 50.0  733.0 47.5 32.5 215.0 206.0
            Zach Collins  PF  SAS 25.0 63.0  731.0 51.8 37.4 402.0 180.0
       Marcus Morris Sr.  SF  LAC 33.0 65.0  728.0 42.6 36.5 258.0 114.0
              Coby White  PG  CHI 23.0 74.0  715.0 44.3 37.2 212.0 204.0
            Terance Mann  SG  LAC 26.0 81.0  713.0 51.9 38.9 276.0 184.0
           Chris Boucher  PF  TOR 30.0 76.0  712.0 49.3 32.8 421.0  29.0
